
CREATE TABLE Investors (
    InvestorID INT PRIMARY KEY,
    Name VARCHAR(100),
    Email VARCHAR(100),
    RiskTolerance VARCHAR(100)
);

-- Portfolios Table
CREATE TABLE Portfolios (
    PortfolioID INT PRIMARY KEY,
    InvestorID INT,
    PortfolioName VARCHAR(100),
    CreatedDate DATE DEFAULT CURRENT_DATE
);

-- Assets Table (Stocks, Bonds, etc.)
CREATE TABLE Assets (
    AssetID INT PRIMARY KEY,
    Symbol VARCHAR(10) UNIQUE,
    AssetType VARCHAR(100),
    CurrentPrice DECIMAL(10,2)
);

-- Transactions Table
CREATE TABLE Transactions (
    TransactionID INT PRIMARY KEY,
    PortfolioID INT,
    AssetID INT,
    TransactionType VARCHAR(100),
    Quantity INT,
    PricePerUnit DECIMAL(10,2),
    TransactionDate DATE 
);

-- Insert Investors
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (1, 'Mr. Peter Walker', 'investor1@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (2, 'Michael Hernandez', 'investor2@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (3, 'Donald Clark', 'investor3@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (4, 'Elizabeth Hicks', 'investor4@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (5, 'Angel Jackson', 'investor5@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (6, 'Amber Esparza', 'investor6@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (7, 'Robert Dixon', 'investor7@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (8, 'Lindsay Phillips', 'investor8@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (9, 'Melinda Blake', 'investor9@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (10, 'Jay Brown', 'investor10@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (11, 'Katie Gutierrez', 'investor11@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (12, 'Daniel Mueller', 'investor12@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (13, 'Eugene Hawkins', 'investor13@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (14, 'Paul Lara', 'investor14@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (15, 'Dana Davis', 'investor15@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (16, 'Michelle Sanders', 'investor16@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (17, 'Randall Love', 'investor17@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (18, 'Jeffrey Diaz', 'investor18@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (19, 'Mr. Brandon Rodgers MD', 'investor19@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (20, 'Amanda Howell', 'investor20@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (21, 'Donald Clark', 'investor21@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (22, 'Lori Pollard', 'investor22@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (23, 'Barry Harris', 'investor23@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (24, 'Amanda Butler', 'investor24@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (25, 'Amanda Freeman', 'investor25@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (26, 'Derrick Kim', 'investor26@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (27, 'Molly Campbell', 'investor27@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (28, 'Jacob Davis', 'investor28@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (29, 'Jerry Frazier', 'investor29@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (30, 'Ana Fleming', 'investor30@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (31, 'Rickey Sanchez', 'investor31@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (32, 'Brenda Holland', 'investor32@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (33, 'Brian Velasquez', 'investor33@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (34, 'Elizabeth Cook', 'investor34@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (35, 'Andrew Brown', 'investor35@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (36, 'Jared Guerrero', 'investor36@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (37, 'Catherine Martin', 'investor37@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (38, 'Brandon Mann', 'investor38@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (39, 'Douglas Hester', 'investor39@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (40, 'Jeffrey Smith', 'investor40@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (41, 'Sandra Gonzalez', 'investor41@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (42, 'Casey Adams', 'investor42@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (43, 'Darlene Buck', 'investor43@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (44, 'Stephanie Santiago', 'investor44@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (45, 'Jacob Rose', 'investor45@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (46, 'Sandra Reeves', 'investor46@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (47, 'Carl Murillo', 'investor47@example.com', 'Low');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (48, 'Ross Ho', 'investor48@example.com', 'Medium');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (49, 'Jamie Lucas', 'investor49@example.com', 'High');
INSERT INTO Investors (InvestorID, Name, Email, RiskTolerance) VALUES (50, 'Matthew Romero', 'investor50@example.com', 'High');

-- Insert Portfolios
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (1, 1, 'Portfolio 1', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (2, 2, 'Portfolio 2', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (3, 3, 'Portfolio 3', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (4, 4, 'Portfolio 4', '2025-01-01');
INSERT INTO Portfolios (PortfolioID, InvestorID, PortfolioName, CreatedDate) VALUES (5, 5, 'Portfolio 5', '2025-01-01');
