ID,name,department,house,on_time,wage,hours
694,"Abbott, Hannah",Charms,Hufflepuff,0.68,13,35
448,"Abercrombie, Euan",Muggle Studies,Gryffindor,0.17,16,36
839,"Ackerley, Stewart",Care of Magical Creatures,Ravenclaw,0.5,18,31
450,"Baddock, Malcolm",Ancient Runes,Slytherin,0.78,14,39
459,"Bell, Katie",Potions,Gryffindor,0.65,18,38
517,"Bones, Susan",Potions,Hufflepuff,0.77,15,35
928,"Boot, Terry",Care of Magical Creatures,Ravenclaw,0.15,11,36
186,"Branstone, Eleanor",Arithmancy,Hufflepuff,0.58,14,25
781,"Brocklehurst, Mandy",Astronomy,Ravenclaw,0.69,18,34
900,"Brown, Lavender",Charms,Gryffindor,0.32,12,40
246,"Bulstrode, Millicent",History of Magic,Slytherin,0.46,12,33
217,"Carmichael, Eddie",Transfiguration,Ravenclaw,0.79,16,36
446,"Cauldwell, Owen",Charms,Hufflepuff,0.54,16,31
291,"Chang, Cho",Ancient Runes,Ravenclaw,0.53,10,21
755,"Clearwater, Penelope",History of Magic,Ravenclaw,0.11,16,33
874,"Coote, Ritchie",Astronomy,Gryffindor,0.4,18,31
176,"Corner, Michael",Herbology,Ravenclaw,0.82,16,38
891,"Cornfoot, Stephen",Arithmancy,Hufflepuff,0.2,15,27
202,"Crabbe, Vincent",Defense Against the Dark Arts,Slytherin,0.12,10,43
889,"Creevey, Colin",Divination,Gryffindor,0.64,12,37
258,"Creevey, Dennis",Arithmancy,Gryffindor,0.27,16,40
524,"Davies, Roger",Defense Against the Dark Arts,Ravenclaw,0.27,20,25
478,"Davis, Tracey",History of Magic,Slytherin,0.71,11,36
250,"Diggory, Cedric",Divination,Hufflepuff,0.63,17,31
682,"Edgecombe, Marietta",Divination,Ravenclaw,0.25,20,35
262,"Entwhistle, Kevin",Charms,Hufflepuff,0.12,14,34
733,"Finch-Fletchley, Justin",Arithmancy,Hufflepuff,0.3,15,16
286,"Finnigan, Seamus",Herbology,Gryffindor,0.5,16,37
474,"Goldstein, Anthony",Herbology,Ravenclaw,0.75,14,40
735,"Goyle, Gregory",Charms,Slytherin,0.34,16,42
751,"Granger, Hermione",Ancient Runes,Gryffindor,0.88,12,32
833,"Greengrass, Astoria",Astronomy,Slytherin,0.85,18,33
633,"Greengrass, Daphne",Muggle Studies,Slytherin,0.05,20,36
567,"Higgs, Terence",Herbology,Slytherin,0.96,10,38
899,"Hooper, Geoffrey",Divination,Gryffindor,0.33,16,37
272,"Hopkins, Wayne",Defense Against the Dark Arts,Hufflepuff,0.57,16,30
105,"Jordan, Lee",Charms,Gryffindor,0.14,18,25
368,"Kirke, Andrew",Ancient Runes,Gryffindor,0.07,16,32
861,"Li, Su",Transfiguration,Ravenclaw,0.42,15,32
134,"Longbottom, Neville",Ancient Runes,Gryffindor,0.32,18,37
466,"Lovegood, Luna",Muggle Studies,Ravenclaw,0.25,18,28
495,"Macmillan, Ernie",Defense Against the Dark Arts,Hufflepuff,0.38,14,25
184,"Madley, Laura",Transfiguration,Hufflepuff,0.8,17,27
261,"Malfoy, Draco",Defense Against the Dark Arts,Slytherin,0.02,16,30
305,"McDonald, Natalie",Herbology,Gryffindor,0.83,16,31
515,"McDougal, Morag",Divination,Ravenclaw,0.57,14,36
110,"McLaggen, Cormac",Astronomy,Gryffindor,0.58,14,36
882,"Midgen, Eloise",Potions,Gryffindor,0.3,14,45
693,"Nott, Theodore",Transfiguration,Slytherin,0.11,18,28
113,"Parkinson, Pansy",Care of Magical Creatures,Slytherin,0.5,14,34
191,"Patil, Padma",Charms,Ravenclaw,0.33,10,35
734,"Patil, Parvati",Muggle Studies,Gryffindor,0.01,14,26
451,"Peakes, Jimmy",Ancient Runes,Gryffindor,0.4,16,31
834,"Potter, Harry",Transfiguration,Gryffindor,0.53,18,32
820,"Pritchard, Graham",Divination,Slytherin,0.84,16,38
245,"Pucey, Adrian",Transfiguration,Slytherin,0.65,20,36
383,"Quirke, Orla",Muggle Studies,Ravenclaw,0.99,10,34
835,"Robins, Demelza",Potions,Gryffindor,0.12,17,41
215,"Sloper, Jack",Transfiguration,Gryffindor,0.38,16,26
285,"Smith, Zacharias",Arithmancy,Hufflepuff,1,18,30
568,"Thomas, Dean",Care of Magical Creatures,Gryffindor,0.37,14,37
958,"Turpin, Lisa",Potions,Ravenclaw,0.74,20,41
819,"Vane, Romilda",Care of Magical Creatures,Gryffindor,0.09,11,28
347,"Weasley, Fred",Muggle Studies,Gryffindor,0.43,16,29
541,"Weasley, George",Astronomy,Gryffindor,0.48,12,29
450,"Weasley, Ginny",Transfiguration,Gryffindor,0.92,16,33
334,"Weasley, Ron",Herbology,Gryffindor,0.99,14,32
649,"Whitby, Kevin",Ancient Runes,Hufflepuff,0.6,13,39
780,"Zabini, Blaise",Divination,Slytherin,0.78,16,37
171,"Zeller, Rose",Potions,Hufflepuff,0.48,14,30
