user_ID,customer,product_ID,sex,age_group,age,marital,state,zone,occupation,category,orders,amount
1002994,Hemant,P00000142,F,36-45,42,unmarried,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,2,20691
1005857,Shweta,P00000142,M,46-50,50,unmarried,Karnataka,Southern,IT Sector,Furniture,4,20208
1003232,Pauline,P00000142,F,36-45,43,married,Uttar Pradesh,Central,Chemical,Tupperware,2,16713
1005264,Barbara,P00000142,F,18-25,22,unmarried,Uttar Pradesh,Central,Retail,Food,4,15659
1002799,Adrian,P00000142,F,18-25,19,married,Delhi,Central,Media,Food,1,15633
1004840,Kinney,P00000142,M,46-50,50,unmarried,Maharashtra,Western,Lawyer,Food,2,15572
1003777,Trupti,P00000142,F,18-25,23,unmarried,Karnataka,Southern,Food Processing,Food,3,15465
1000623,McGrath,P00000142,F,26-35,30,unmarried,Maharashtra,Western,IT Sector,Food,2,15415
1001076,Armstrong,P00000142,M,26-35,34,married,Maharashtra,Western,Automobile,Sports Products,3,13598
1003823,Denise,P00000142,F,55+,78,unmarried,Uttar Pradesh,Central,Media,Food,4,11969
1003259,Wardle,P00000142,M,18-25,18,unmarried,Jharkhand,Eastern,Banking,Electronics & Gadgets,3,9991
1002085,Siddharth,P00000142,F,18-25,24,unmarried,Karnataka,Southern,Chemical,Food,2,8024
1005375,Navdeep,P00000142,F,26-35,28,unmarried,Uttar Pradesh,Central,Banking,Food,2,8023
1002742,Sajal,P00000142,F,26-35,30,unmarried,Maharashtra,Western,Media,Food,1,7950
1003560,Lena,P00000142,M,26-35,27,married,Maharashtra,Western,IT Sector,Electronics & Gadgets,1,7911
1001167,Sanjana,P00000142,M,51-55,51,married,Karnataka,Southern,Chemical,Electronics & Gadgets,3,7812
1003380,Blumstein,P00000142,F,51-55,55,married,Rajasthan,Northern,Automobile,Food,3,7801
1002109,Gelder,P00000142,M,26-35,30,unmarried,Andhra Pradesh,Southern,Aviation,Electronics & Gadgets,4,7797
1003589,Atkinson,P00000142,M,46-50,46,unmarried,Uttar Pradesh,Central,Textile,Clothing & Apparel,3,5444
1003349,Mansi,P00000142,M,18-25,21,unmarried,Maharashtra,Western,IT Sector,Clothing & Apparel,1,5309
1003842,Shivangi,P00000142,M,36-45,41,unmarried,Karnataka,Southern,IT Sector,Food,3,4282
1004546,Elijah,P00000142,F,26-35,31,married,Maharashtra,Western,IT Sector,Household items,1,3775
1001303,Akshat,P00000142,M,26-35,27,married,Delhi,Central,IT Sector,Household items,2,2280
1000685,Arun,P00000142,F,26-35,33,married,Delhi,Central,Hospitality,Veterinary,1,1394
1003922,Stuart,P00000242,F,18-25,20,married,Maharashtra,Western,Govt,Furniture,4,16671
1004127,Anisha,P00000242,F,51-55,51,married,Uttar Pradesh,Central,Aviation,Food,4,11457
1004041,Fritzler,P00000242,F,18-25,19,unmarried,Delhi,Central,Healthcare,Electronics & Gadgets,2,10042
1004448,Akshat,P00000242,F,26-35,30,married,Bihar,Eastern,Automobile,Clothing & Apparel,3,7053
1003414,Sorensen,P00000242,F,26-35,32,unmarried,Uttar Pradesh,Central,IT Sector,Clothing & Apparel,1,6989
1005568,Sorensen,P00000242,F,18-25,20,unmarried,Karnataka,Southern,Healthcare,Clothing & Apparel,1,5305
1001503,Willman,P00000342,F,26-35,35,unmarried,Karnataka,Southern,Retail,Games & Toys,3,13139
1000687,Neola,P00000342,M,26-35,30,unmarried,Rajasthan,Northern,IT Sector,Electronics & Gadgets,4,10028
1005972,Harms,P00000342,M,26-35,31,unmarried,Delhi,Central,Aviation,Games & Toys,2,9751
1000442,Vivek,P00000342,F,26-35,26,married,Jharkhand,Eastern,Media,Electronics & Gadgets,4,6170
1002374,Devendra,P00000342,F,26-35,31,unmarried,Andhra Pradesh,Southern,IT Sector,Electronics & Gadgets,3,5875
